LOT #,MAKE,MODEL,CALIBER,SERIAL #,
391,REMINGTON,870,12 GAUGE,V293113V,
392,NDERS SPECIAL SERVIC,12 GAUGE,12 GAUGE,11329,
393,COAST TO COAST,167H,12 GAUGE,O VISIBLE MARKINGS,
394,REMINGTON,742,.30-06,7338095,
395,SEARS,42,0.22,NONE,
396,WINCHESTER,94,30-30,4301426,
397,GLENFIELD,60,0.22,21306286,
398,WINCHESTER,RANGER,.30-06,U171944,
399,SAVAGE,RASCAL,0.22,2330943,
400,STAG ARMS,AR-15,5.56,215234,
401,COLT,CE POITIVE SPECIAL,32,286177,
402,SPRINGFIELD ARMORY,XDS-9,9MM,S4900197,
403,SPRINGFIELD ARMORY,XDS-9,9MM,S3800410,
404,TAURUS,THE JUDGE,410,DX317822,
405,GLOCK,17,9MM,ZEX346,
406,TAURUS,TCP,380,45138D,
407,TAURUS,605,.357 MAGNUM,LN55144,
408,THER USA (CARL WALT,22 M1 CA SKU CAP22,.22 LR,EP005084,
409,PHOENIX ARMS,RAVEN,0.25,3196716,
409,JENNINGS,J-22,0.22,307667,
409,PHOENIX ARMS,RAVEN,0.25,3053079,
409,RAVEN ARMS,MP25,0.25,1372691,
409,RAVEN ARMS,P-25,0.25,560283,
409,JENNINGS,J-22,0.22,318940,
409,RAVEN ARMS,P25,0.25,293351,
409,JENNINGS,J-22,0.22,420853,
409,RAVEN ARMS,P-25,0.25,223631,
409,PHOENIX ARMS,HP22A,.22 LR,4317827,
409,PHOENIX ARMS,HP22A,.22 LR,4172090,
409,LORCIN,L22,22,11567,
410,MASTERPIECE ARMS,570M6,5.7 X 28 MM,FX03052,
411,KELTEC,PMR-30,0.22,WWS285,
412,HI POINT,C9,9MM,P1678491,
412,HI POINT,JHP,0.45,X4244810,
412,HI POINT,C9,9MM,P144476,
412,HI POINT,C9,9MM,P10003384,
412,HI POINT,C9,9MM,P1818888,
412,HI POINT,JCP40,0.4,X7124353,
412,HI POINT,C9,9MM,P1775041,
412,LORCIN,L9MM,9MM,L128542,
412,BRYCO ARMS,JENNINGS NINE,9MM,1440506,
412,BRYCO ARMS,JENNINGS NINE,9MM,1084015,
412,HI POINT,C9,9MM,P229849,
414,BERETTA,UNK,0.22,P31339,
415,GLOCK,43,9MM,ZZE623,
416,BERSA,THUNDER 380,0.38,D72664,
417,GLOCK,21,.45 ACP,YDH310,
418,BERETTA,PX4 STORM TYPE F,.40 S&W,PY126004,
419,GLOCK,23,.40 S&W,TCX919,
420,SMITH & WESSON,P40 SHIELD SKU 187,.40 S&W,MRN0071,
421,GLOCK,22,.40 S&W,UWX590,
422,RUGER,LCP,0.38,371842126,
423,GLOCK,26,9MM,BCSZ516,
424,SMITH & WESSON,P40 SHIELD SKU 187,.40 S&W,HRY1588,
425,TAURUS,UNKNOWN,0.38,HP97819,
426,TAURUS,PT22,0.22,Z068040,
427,TAURUS,PT845,0.45,NFU87618,
428,PARA USA,GI LITE 1911,0.45,K000647,
429,SMITH & WESSON,MP 380,0.38,KCC7436,
434,BERETTA,PICO,0.38,PC009103,
435,TAURUS,PT738,0.38,51011D,
436,TAURUS,PT111,9MM,TIS61102,
437,TAURUS,PT738,0.38,1D030958,
438,SAR,SARK2P,9MM,T110213C04744,
439,RUGER,LCR,0.357,546-30339,
440,SMITH & WESSON,P9 SHIELD  SKU 187,9MM,HWY0474,
441,UNK,UNK,UNK,CB02914,
442,SMITH & WESSON,68,0.357,4K64234,
443,BERSA,THUNDER 380,0.38,A88665,
