incident_number,ucr_category,type_of_firearm,firearm_manufacturer,firearm_model,firearm_caliber,recovery_date,address_geocode_type,recovery_block_address,city,state,recovery_zipcode,person_recovered_from_race,person_recovered_from_sex,person_recovered_from_age,address_concat,x,y,longitude,latitude,confidence,source
80-11-038671,Vandalism,"Pistol, Semi-automatic                                 ",Jimenez Arms,,9MM,2011-05-21 00:00:00+00,INTERSECTION,Caldwell St / S Jackson St,Louisville,KY,40203,Black,M,28,Caldwell St / S Jackson St Louisville KY 40203,1210575.5,272638,-85.7466388,38.23908374,,LOJIC
80-10-053798,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Hipoint,Js-9 Series,9MM,2010-07-14 00:00:00+00,INTERSECTION,Camden Ave / Powell Ave,Louisville,KY,40215,Black,M,18,Camden Ave / Powell Ave Louisville KY 40215,1197546.249,256063.1563,-85.79103076,38.19298519,,LOJIC
80-10-023935,All Other Offenses,"Pistol, Semi-automatic                                 ",Skyy Industries,,9MM,2010-04-04 00:00:00+00,INTERSECTION,Camden Ave / Taylor Blvd,Louisville,KY,40215,Black,M,19,Camden Ave / Taylor Blvd Louisville KY 40215,1199792.625,255897.1575,-85.78320601,38.19263236,,LOJIC
80-10-023935,All Other Offenses,"Pistol, Semi-automatic                                 ",Skyy Industries,,9MM,2010-04-04 00:00:00+00,INTERSECTION,Camden Ave / Taylor Blvd,Louisville,KY,40215,Black,M,19,Camden Ave / Taylor Blvd Louisville KY 40215,1199792.625,255897.1575,-85.78320601,38.19263236,,LOJIC
80-11-049110,Narcotics,"Pistol, Semi-automatic                                 ","Glock, Inc.                                            ",Model 30 (45 Ac,45C,2011-06-24 00:00:00+00,INTERSECTION,Camp Ground Rd / Lake Dreamland Rd,Louisville,KY,40216,Black,M,24,Camp Ground Rd / Lake Dreamland Rd Louisville KY 40216,1180146,260743.75,-85.85184866,38.20502114,,LOJIC
80-12-058280,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Smith & Wesson,,22C,2012-07-23 00:00:00+00,INTERSECTION,Camp St / S Clay St,Louisville,KY,40203,Black,M,18,Camp St / S Clay St Louisville KY 40203,1211321.875,269792.9375,-85.74387984,38.23130547,,LOJIC
80-12-012089,Aggravated Assault,"Pistol, Revolver                                       ",,622,22C,2012-02-14 00:00:00+00,INTERSECTION,Camp St / S Clay St,Louisville,KY,40203,Black,M,43,Camp St / S Clay St Louisville KY 40203,1211321.875,269792.9375,-85.74387984,38.23130547,,LOJIC
80-13-010925,Stolen Property,"Pistol, Semi-automatic                                 ","Glock, Inc.                                            ",Model 26 (9mm),9MM,2013-02-14 00:00:00+00,INTERSECTION,Camp St / S Clay St,Louisville,KY,40203,Black,M,34,Camp St / S Clay St Louisville KY 40203,1211321.875,269792.9375,-85.74387984,38.23130547,,LOJIC
80-14-038503,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Taurus International,Model Pt-24/7,9MM,2014-05-28 00:00:00+00,INTERSECTION,Camp St / S Clay St,Louisville,KY,40203,Black,M,19,Camp St / S Clay St Louisville KY 40203,1211321.875,269792.9375,-85.74387984,38.23130547,,LOJIC
80-16-022484,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Jimenez Arms,,9MM,2016-03-16 00:00:00+00,INTERSECTION,Camp St / S Hancock St,Louisville,KY,40203,Black,M,33,Camp St / S Hancock St Louisville KY 40203,1210746,269878.875,-85.74588924,38.23151576,,LOJIC
80-14-025140,Stolen Property,"Shotgun, Semiautomatic                                 ",O. F. Mossberg,500-599 Modles,12GA,2014-04-11 00:00:00+00,INTERSECTION,Camp St / S Jackson St,Louisville,KY,40203,Black,M,20,Camp St / S Jackson St Louisville KY 40203,1210166.75,269965.5,-85.74791044,38.23172775,,LOJIC
80-14-025140,Stolen Property,"Rifle, Semi-automatic                                  ",Marlin Firearms,Model 336 Serie,30C,2014-04-11 00:00:00+00,INTERSECTION,Camp St / S Jackson St,Louisville,KY,40203,Black,M,20,Camp St / S Jackson St Louisville KY 40203,1210166.75,269965.5,-85.74791044,38.23172775,,LOJIC
80-16-012722,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Bryco Arms,Bryco 58,380C,2016-02-11 00:00:00+00,INTERSECTION,Camp St / S Jackson St,Louisville,KY,40203,Black,M,23,Camp St / S Jackson St Louisville KY 40203,1210166.75,269965.5,-85.74791044,38.23172775,,LOJIC
80-14-025140,Stolen Property,"Rifle, Semi-automatic                                  ",,,762M,2014-04-11 00:00:00+00,INTERSECTION,Camp St / S Jackson St,Louisville,KY,40203,Black,M,20,Camp St / S Jackson St Louisville KY 40203,1210166.75,269965.5,-85.74791044,38.23172775,,LOJIC
80-14-025140,Stolen Property,"Rifle, Semi-automatic                                  ",,,,2014-04-11 00:00:00+00,INTERSECTION,Camp St / S Jackson St,Louisville,KY,40203,Black,M,20,Camp St / S Jackson St Louisville KY 40203,1210166.75,269965.5,-85.74791044,38.23172775,,LOJIC
80-10-071966,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Lorcin Engineer,Lh-380 .380 Acp,380C,2010-09-13 00:00:00+00,INTERSECTION,Camp St / S Preston St,Louisville,KY,40203,Black,M,20,Camp St / S Preston St Louisville KY 40203,1209622.5,270100.0625,-85.74981253,38.23207289,,LOJIC
80-16-050939,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,Pa-63,9MM,2016-06-15 00:00:00+00,INTERSECTION,Camp St / S Preston St,Louisville,KY,40203,Black,M,22,Camp St / S Preston St Louisville KY 40203,1209622.5,270100.0625,-85.74981253,38.23207289,,LOJIC
80-10-078422,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Norinco,,9MM,2010-10-05 00:00:00+00,INTERSECTION,Camp St / S Preston St,Louisville,KY,40203,White,F,40,Camp St / S Preston St Louisville KY 40203,1209622.5,270100.0625,-85.74981253,38.23207289,,LOJIC
80-10-078422,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Norinco,,9MM,2010-10-05 00:00:00+00,INTERSECTION,Camp St / S Preston St,Louisville,KY,40203,White,F,40,Camp St / S Preston St Louisville KY 40203,1209622.5,270100.0625,-85.74981253,38.23207289,,LOJIC
80-11-093161,Wpns Law Violation,"Pistol, Revolver                                       ",Iver Johnson,,22C,2011-11-16 00:00:00+00,INTERSECTION,Campion Ct / Mount Washington Rd,Louisville,KY,40229,Black,M,19,Campion Ct / Mount Washington Rd Louisville KY 40229,1236882.875,218127.5625,-85.65216619,38.09055189,,LOJIC
